,Commission,Council,Parliament
economic_opportunity,18.4,13.6,17.2
fundamental_rights,9.2,13.2,14.4
security_geopolitical,8.0,3.1,3.7
labour_social,5.7,10.7,7.8
consumer_protection,12.3,12.2,15.6
technological_innovation,35.4,27.2,28.9
regulatory_governance,11.0,20.0,12.5
