,reported,reported,reported,tightened,tightened,tightened
institution,Commission,Council,Parliament,Commission,Council,Parliament
economic_opportunity,18.4,13.6,17.2,19.5,10.0,14.1
fundamental_rights,9.2,13.2,14.4,13.1,18.1,19.9
security_geopolitical,8.0,3.1,3.7,11.3,4.3,5.1
labour_social,5.7,10.7,7.8,8.2,14.7,10.8
consumer_protection,12.3,12.2,15.6,12.4,9.8,17.2
technological_innovation,35.4,27.2,28.9,20.0,15.6,15.7
regulatory_governance,11.0,20.0,12.5,15.6,27.5,17.3
