,Commission,Council,Parliament
economic_opportunity,19.0,10.8,17.3
fundamental_rights,8.1,13.2,13.6
security_geopolitical,8.1,5.7,3.7
labour_social,6.2,26.2,8.3
consumer_protection,12.2,6.4,15.4
technological_innovation,36.6,33.2,30.1
regulatory_governance,9.8,4.5,11.6
