doc_id,work,institution,type_raw,mtype
3a2d3031-12e7-11ef-a251-01aa75ed71a1,http://publications.europa.eu/resource/cellar/3a2d3031-12e7-11ef-a251-01aa75ed71a1,Council,ITEM_IA_NOTE,pdf
3afbaed2-4aa4-11f0-85ba-01aa75ed71a1,http://publications.europa.eu/resource/cellar/3afbaed2-4aa4-11f0-85ba-01aa75ed71a1,Commission,SWD,xhtml
3c2e9d55-482a-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/3c2e9d55-482a-11f1-8095-01aa75ed71a1,Commission,REPORT,pdf
3e89b793-4aa4-11f0-85ba-01aa75ed71a1,http://publications.europa.eu/resource/cellar/3e89b793-4aa4-11f0-85ba-01aa75ed71a1,Commission,SWD,xhtml
3f4e211c-2640-11ec-bd8e-01aa75ed71a1,http://publications.europa.eu/resource/cellar/3f4e211c-2640-11ec-bd8e-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
3f7f2c72-c6b3-11f0-8da2-01aa75ed71a1,http://publications.europa.eu/resource/cellar/3f7f2c72-c6b3-11f0-8da2-01aa75ed71a1,Parliament,REPORT_DRAFT_EP_CMT,
41c8182a-27f1-11f1-a7dd-01aa75ed71a1,http://publications.europa.eu/resource/cellar/41c8182a-27f1-11f1-a7dd-01aa75ed71a1,Parliament,AMEND_LIST_EP,
42a122d6-1a23-11f1-9769-01aa75ed71a1,http://publications.europa.eu/resource/cellar/42a122d6-1a23-11f1-9769-01aa75ed71a1,Parliament,ADOPT_TEXT,
4306dceb-8c20-11ef-a130-01aa75ed71a1,http://publications.europa.eu/resource/cellar/4306dceb-8c20-11ef-a130-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
43ea2afa-1d38-11f1-8c3a-01aa75ed71a1,http://publications.europa.eu/resource/cellar/43ea2afa-1d38-11f1-8c3a-01aa75ed71a1,Council,NOTE,
4422b153-e778-11ee-9ea8-01aa75ed71a1,http://publications.europa.eu/resource/cellar/4422b153-e778-11ee-9ea8-01aa75ed71a1,Parliament,OPIN_EP_CMT,
44df3cc7-1f54-11f0-b1a3-01aa75ed71a1,http://publications.europa.eu/resource/cellar/44df3cc7-1f54-11f0-b1a3-01aa75ed71a1,Commission,PROP_REG,xhtml
44f0ed1f-285f-11f1-a7dd-01aa75ed71a1,http://publications.europa.eu/resource/cellar/44f0ed1f-285f-11f1-a7dd-01aa75ed71a1,Council,NOTE,
44f3a665-1f96-11f1-8c3a-01aa75ed71a1,http://publications.europa.eu/resource/cellar/44f3a665-1f96-11f1-8c3a-01aa75ed71a1,Parliament,ADOPT_TEXT,
4559c9e2-a426-11f0-97c8-01aa75ed71a1,http://publications.europa.eu/resource/cellar/4559c9e2-a426-11f0-97c8-01aa75ed71a1,Commission,COMMUNIC,xhtml
498ec314-4aa4-11f0-85ba-01aa75ed71a1,http://publications.europa.eu/resource/cellar/498ec314-4aa4-11f0-85ba-01aa75ed71a1,Commission,SWD,xhtml
4b7998fd-3ff9-11ed-92ed-01aa75ed71a1,http://publications.europa.eu/resource/cellar/4b7998fd-3ff9-11ed-92ed-01aa75ed71a1,Commission,IMPACT_ASSESS,xhtml
4b82d1b8-eb11-11ee-bf53-01aa75ed71a1,http://publications.europa.eu/resource/cellar/4b82d1b8-eb11-11ee-bf53-01aa75ed71a1,Commission,RECO,xhtml
