code,label,broader
BANK_NONEURO11A,"National banks outside the Eurosystem: Българска народна банка, Česká národní banka, Danmarks Nationalbank, Hrvatska narodna banka, Latvijas Banka, Lietuvos Bankas, Magyar Nemzeti Bank, Narodowy Bank Polski, Banca Națională a României, Sveriges Riksbank, Bank of England",EUMS
BANK_EURO19,"National banks within the Eurosystem: Nationale Bank van België/Banque Nationale de Belgique, Deutsche Bundesbank, Eesti Pank, Banc Ceannais na hÉireann/Central Bank of Ireland, Τράπεζα της Ελλάδος, Banco de España, Banque de France, Banca d’Italia, Κεντρική Τράπεζα της Κύπρου, Latvijas Banka, Lietuvos Bankas, Banque centrale du Luxembourg, Bank Centrali ta’ Malta/Central Bank of Malta, De Nederlandsche Bank, Oesterreichische Nationalbank, Banco de Portugal, Banka Slovenije, Národná banka Slovenska, Suomen Pankki/Finlands Bank",EUMS
BANK_NONEURO12,"National banks outside the Eurosystem: Българска народна банка, Česká národní banka, Danmarks Nationalbank, Eesti Pank, Latvijas Banka, Lietuvos Bankas, Magyar Nemzeti Bank, Narodowy Bank Polski, Banca Națională a României, Národná banka Slovenska, Sveriges Riksbank, Bank of England",EUMS
BANK_NONEURO4,"National banks outside the Eurosystem: Danmarks Nationalbank, Τράπεζα της Ελλάδος, Sveriges Riksbank, Bank of England",EUMS
BANK_NONEURO10,"National banks outside the Eurosystem: Българска народна банка, Česká národní banka, Danmarks Nationalbank, Latvijas Banka, Lietuvos Bankas, Magyar Nemzeti Bank, Narodowy Bank Polski, Banca Națională a României, Sveriges Riksbank, Bank of England",EUMS
BANK_NONEURO8,"National banks outside the Eurosystem: Българска народна банка, Česká národní banka, Danmarks Nationalbank, Hrvatska narodna banka, Magyar Nemzeti Bank, Narodowy Bank Polski, Banca Națională a României, Sveriges Riksbank",EUMS
BANK_NONEURO11,"National banks outside the Eurosystem: Българска народна банка, Česká národní banka, Danmarks Nationalbank, Eesti Pank, Latvijas Banka, Lietuvos Bankas, Magyar Nemzeti Bank, Narodowy Bank Polski, Banca Națională a României, Sveriges Riksbank, Bank of England",EUMS
BANK_NONEURO14,"National banks outside the Eurosystem: Българска народна банка, Česká národní banka, Danmarks Nationalbank, Eesti Pank, Κεντρική Τράπεζα της Κύπρου, Latvijas Banka, Lietuvos Bankas, Magyar Nemzeti Bank, Bank Centrali ta’ Malta/Central Bank of Malta, Narodowy Bank Polski, Banca Națională a României, Národná banka Slovenska, Sveriges Riksbank, Bank of England",EUMS
BEREC_2010_0,Body of European Regulators for Electronic Communications,EURUN
CAJU,Clean Aviation Joint Undertaking,EURAG
BBI,Bio-based Industries Joint Undertaking,EURAG
BEREC_OFFICE_2010_0,BEREC Office,EURAG
BENELUX,Benelux Union,
BENELUX_1960_0,Benelux Economic Union,
BERD,European Bank for Reconstruction and Development,
BEUC,European Consumer Organisation,
BIS,Bank for International Settlements,
BLEU,Belgo-Luxembourg Economic Union,
BOIP,Benelux Office for Intellectual Property,
BRIC,BRIC countries,
BRICS,BRICS countries,
BSI,British Standards Institution,
BSSE,BusinessEurope,
CABEI,Central American Bank for Economic Integration,
CACM,Central American Common Market,
CAEMC,Central African Economic and Monetary Community,
CAEU,Council of Arab Economic Unity,
CAIS,Central American Integration System,
CHAFEA_2014_0,"Consumers, Health and Food Executive Agency",COM
CC_CIS,Coordination Committee for Communication and Information Systems,CONSIL
CC_CATS,Coordinating Committee in the area of police and judicial cooperation in criminal matters,CONSIL
CBRN_COE,CBRN Centres of Excellence,EURUN
CETIS,European Scientific Information Processing Centre,JRCISP
CBNM,Central Bureau for Nuclear Measurements,EAEC
CARIFORUM,Caribbean Forum,ACP
CERT,"Computer Emergency Response Team for the EU institutions, bodies and agencies",DIGIT
CERT-EU,"Cybersecurity Service for the Union Institutions, Bodies, Offices and Agencies",DIGIT
CBEJU,Circular Bio-based Europe Joint Undertaking,EURAG
CFCA_2005_0,Community Fisheries Control Agency,EURAG
CEPOL_2005_0,European Police College,EURAG
CARICOM,Caribbean Community,
CBSS,Council of the Baltic Sea States,
CC,Creative Commons,
CCC,Customs Cooperation Council,
CCNR,Central Commission for the Navigation of the Rhine,
CDB,Caribbean Development Bank,
CEDRE,European Centre for Regional Development,
CEEP,European Centre of Employers and Enterprises providing Public Services,
CEFTA,Central European Free Trade Agreement,
CELAB,Center for Ethics and Law in Biomedicine,
CELAC,Community of Latin American and Caribbean States,
CEN,European Committee for Standardization,
CENEL,CENEL,
CENELCOM,European Committee for the Coordination of Electrotechnical Standards in the Common Market,
CENELEC,European Committee for Electrotechnical Standardisation,
CENTO,Central Treaty Organization,
CERN,CERN,
CGIAR,Consultative Group on International Agricultural Research,
CINEA,"European Climate, Infrastructure and Environment Executive Agency",COM
CHR,Centre for Human Rights,UNO
CHJU,Clean Hydrogen Joint Undertaking,EURAG
CHE_FC,Swiss Federal Council,
CMT_EMPL,Employment Committee,COM
CMT_BUDG,Budget Committee,CONSIL
CMT_CIVCOM,Committee for Civilian Aspects of Crisis Management,CONSIL
CMT_COSI,Standing Committee on Operational Cooperation on Internal Security,CONSIL
CMT_CULT,Cultural Affairs Committee,CONSIL
CMT_EDU,Education Committee,CONSIL
CMT_EMCO,Employment Committee,CONSIL
CMT_ERAC,European Research Area and Innovation Committee,CONSIL
CMT_EUMC,European Union Military Committee,CONSIL
CMT_FSC,Financial Services Committee,CONSIL
CMT_SC,Security Committee,CONSIL
CMT_SCA,Special Committee on Agriculture,CONSIL
CMT_SCIFA,"Strategic Committee on Immigration, Frontiers and Asylum",CONSIL
CMT_SPC,Social Protection Committee,CONSIL
CMT_AMB_EC_ACP,ACP–EC Committee of Ambassadors,EC
CMT_MIX_EC_AUT,EC–Austria Joint Committee,EC
CMT_MIX_EC_CSK,EC–Czech Republic Joint Committee,EC
CMT_MIX_EC_DNK_FRO,EC–Denmark-Faroe Islands Joint Committee,EC
CMT_MIX_EC_FIN,EC–Finland Joint Committee,EC
CMT_MIX_EC_LTU,EC–Lithuania Joint Committee,EC
CMT_MIX_EC_LVA,EC–Latvia Joint Committee,EC
CMT_MIX_EC_SVK,EC–Slovak Republic Joint Committee,EC
CMT_AMB_EEC_ACP,ACP–EEC Committee of Ambassadors,EEC
CMT_MIX_ACP_EEC,ACP–EEC Joint Committee,EEC
CMT_MIX_EEC_ARE,EEC–ARE (Arab Republic of Egypt) Joint Committee,EEC
CMT_MIX_EEC_COM,EEC–Comoros Joint Committee,EEC
CMT_MIX_EEC_CSK,EEC–Czech Republic Joint Committee,EEC
CMT_MIX_EEC_ISL,EEC–Iceland-Norway Joint Committee,EEC
CMT_MIX_EEC_ISR,EEC–Israel Joint Committee,EEC
CMT_MIX_EEC_SVK,EEC–Slovak Republic Joint Committee,EEC
CMT_CONJOIN,Joint Committee,EURUN
CMT_CONS,Consultative Committee,EURUN
CMT_MIX_EU_GBR,EU–United Kingdom Joint Committee,EURUN
CMT_MIX_EU_ICAO,EU–ICAO Joint Committee,EURUN
CMT_MIX_EU_MEX,EU–Mexico Joint Committee,EURUN
CMT_PARIT,Joint Committee,EURUN
CMT_MIX_ECSC_TUR,ECSC–Turkey Joint Committee,ECSC
CMESA,Common Market for Eastern and Southern Africa,
CMNW,Commonwealth,
COMMU_1999_0,Directorate-General for Press and Communication,COM
COMP_1967_0,DG IV – Competition,COM
COM_CAB,Cabinets of Commissioners,COM
COM_COLL,College of Commissioners,COM
COM_PRES,President of the European Commission,COM
CMT_TPC,Trade Policy Committee,CONSIL
CONSIL_AGRIFISH,Agriculture and Fisheries Council,CONSIL
CONSIL_COMPET,Competitiveness Council,CONSIL
CONSIL_ECOFIN,Economic and Financial Affairs Council,CONSIL
COM_1967_0,European Commission,EC
CONSIL_1967_0,Council of the European Communities,EC
CMT_TRADE_EU_ROK,EU–Korea Trade Committee,EURUN
CMT_STAFF,Staff Committee,HR
COM_COLL_01,College of Commissioners 1958–1962,COM_COLL
COM_COLL_02,College of Commissioners 1962–1967,COM_COLL
COM_COLL_03,College of Commissioners 1967–1970,COM_COLL
COM_COLL_04,College of Commissioners 1970–1972,COM_COLL
COM_COLL_05,College of Commissioners 1972–1973,COM_COLL
COM_COLL_06,College of Commissioners 1973–1977,COM_COLL
COM_COLL_07,College of Commissioners 1977–1981,COM_COLL
COM_COLL_08,College of Commissioners 1981–1985,COM_COLL
COM_COLL_09,College of Commissioners 1985–1989,COM_COLL
COM_COLL_10,College of Commissioners 1989–1993,COM_COLL
COM_COLL_11,College of Commissioners 1993–1995,COM_COLL
COM_COLL_12,College of Commissioners 1995–1999,COM_COLL
COM_COLL_13,College of Commissioners 1999–2004,COM_COLL
COM_COLL_14,College of Commissioners 2004–2009,COM_COLL
COM_COLL_15,College of Commissioners 2010–2014,COM_COLL
COM_COLL_16,College of Commissioners 2014–2019,COM_COLL
COM_COLL_17,College of Commissioners 2019–2024,COM_COLL
COM_COLL_18,College of Commissioners 2024–2029,COM_COLL
COCOM,Coordinating Committee for Multilateral Export Controls,
CODESA,Convention for a Democratic South Africa,
CONSIL_ENV,Environment Council,CONSIL
CONSIL_EPSCO,"Employment, Social Policy, Health and Consumer Affairs Council",CONSIL
CONSIL_EYCS,"Education, Youth, Culture and Sport Council",CONSIL
CONSIL_FAC,Foreign Affairs Council,CONSIL
CONSIL_JHA,Justice and Home Affairs Council,CONSIL
CONSIL_PRES,Presidency of the Council of the EU,CONSIL
CONSIL_SG_1967_0,General Secretariat of the Council,CONSIL
CONSIL_TTE,"Transport, Telecommunications and Energy Council",CONSIL
COREPER,Permanent Representatives Committee,CONSIL
COREPER_I,Permanent Representatives Committee – Part I,CONSIL
COREPER_II,Permanent Representatives Committee – Part II,CONSIL
COR_AFFINS,Commission Institutional Affairs,COR
COR_AMESPA,"Commission 2 Spatial Planning; Agriculture, Hunting, Fisheries, Forestry, Marine Environment and Upland Areas",COR
COR_AMETER,"Commission 5 Land-use Planning, Environment and Energy",COR
COR_CIVEX_2010_0,"Commission for Citizenship, Governance, Institutional and External Affairs",COR
COR_COM1,"Commission 1 Regional Policy, Structural Funds, Economic and Social Cohesion, Cross-border and Inter-regional Cooperation",COR
COR_COM2,"Commission 2 Agriculture, Rural Development and Fisheries",COR
COR_COM3,"Commission 3 Trans-European Networks, Transport, Information Society",COR
COR_COM4,"Commission 4 Spatial Planning, Urban Issues, Energy, Environment",COR
COR_COM5,"Commission 5 Social Policy, Public Health, Consumer Protection, Research and Tourism",COR
COR_COM6,"Commission 6 Employment, Economic Policy, Single Market, Industry, SMEs",COR
COR_COM7,"Commission 7 Education, Vocational Training, Culture, Youth, Sport and Citizens’ Rights",COR
COR_COM8,Commission Institutional Affairs,COR
COR_CONST,"Commission for European Governance and the Area of Freedom, Security and Justice",COR
COR_CONST_2002_0,Commission for Constitutional Affairs and European Governance,COR
COR_COTER_2002_0,Commission for Territorial Cohesion Policy,COR
COR_COTER_2005_0,Commission for Territorial Cohesion Policy,COR
COR_COTER_2010_0,Commission for Territorial Cohesion Policy,COR
COR_DEVE,Commission for Sustainable Development,COR
COR_DEVELO,"Commission 1 Regional Development, Economic Development, Local and Regional Finances",COR
COR_DEVE_2002_0,Commission for Subtainable Development,COR
COR_1993_0,Committee of the Regions,EURUN
COR_DIR_A,Directorate for Members and Plenaries,COR_SG
COR_DIR_ADMIN_FINANCE,Directorate for Administration and Finance,COR_SG
COR_DIR_B,Directorate for Legislative Work 1,COR_SG
COR_DIR_C,Directorate for Legislative Work 2,COR_SG
COR_DIR_COMMUNICATION,Directorate for Communication,COR_SG
COR_DIR_CONSULTATIVE,Directorate for Consultative Work,COR_SG
COR_DIR_D,Directorate for Communication,COR_SG
CONSREG,Consultative Council of Regional and Local Authorities,
CORDAID,Cordaid,
COR_ENVE_2010_0,"Commission for The Environment, Climate Change and Energy",COR
COR_SG_1993_0,Secretariat-General of the Committee of the Regions,COR
COR_EDUC,"Commission for Education, Youth, Culture and Research",COR
COR_POLURB,Commission 4 Urban Policies,COR
COR_ECOS_2002_0,Commission for Economic and Social Policy,COR
COR_RELEX_2002_0,Commission for External Relations,COR
COR_EDUC_2005_0,"Commission for Culture, Education and Research",COR
COR_TEMP_ROP,Ad Hoc Commission for the Revision of the CoR Rules of Procedure,COR
COR_GROUP,Political groups at the European Committee of the Regions,COR
COR_ECOSOC,"Commission 8 Economic and Social Cohesion, Social Policy and Public Health",COR
COR_RELEX,Commission for External Relations and Decentralised Cooperation,COR
COR_EDUFOR,"Commission 6 Education, Training",COR
COR_TEMP_BUDG,Ad hoc commission on EU Budget,COR
COR_ECOS_2005_0,Commission for Economic and Social Policy,COR
COR_GROUP_1994_0,Political groups of the Committee of the Regions,COR
COR_TRACOM,Commission 3 Transport and Communications Network,COR
COR_EURCIT,"Commission 7 Citizen’s Europe, Research, Culture, Youth and Consumers",COR
COR_SG,Secretariat-General of the European Committee of the Regions,COR
COR_EDUC_2002_0,Commission for Culture and Education,COR
COR_NAT_2010_0,Commission for Natural Resources,COR
COR_GROUP_RENEW,Renew Europe,COR_GROUP
COR_GROUP_EPP,European People’s Party,COR_GROUP
COR_GROUP_PES,Party of European Socialists,COR_GROUP
COR_GROUP_ALDE,Alliance of Liberals and Democrats for Europe,COR_GROUP
COR_GROUP_EPP_1994_0,European People’s Party,COR_GROUP
COR_GROUP_PES_1994_0,Party of European Socialists,COR_GROUP
COR_GROUP_ALDE_2005_0,Alliance of Liberals and Democrats for Europe,COR_GROUP
COR_DIR_HORIZONTAL_POLICIES,Directorate for Horizontal policies and networks,COR_SG
COR_DIR_L,Directorate for Logistics,COR_SG
COR_DIR_E,Directorate for Human Resources and Finance,COR_SG
COR_DIR_HR_FINANCE,Directorate for Human Resources and Finance,COR_SG
COST_1971_0,European Co-operation in the field of Scientific and Technical Research,
COUN_AMB_EC_ACP,ACP–EC Council of Ministers,EC
COUN_ASS_EC_CYP,EC–Cyprus Association Council,EC
COUN_ASS_EC_EGY,EC–Egypt Association Council,EC
COUN_ASS_EC_ISR,EC–Israel Association Council,EC
COUN_ASS_EC_MAR,EC–Morocco Association Council,EC
COUN_ASS_EC_MLT,EC–Malta Association Council,EC
COUN_COOP_EC_ARM,EC–Armenia Cooperation Council,EC
COUN_COOP_EC_DZA,EC–Algeria Cooperation Council,EC
COUN_COOP_EC_GEO,EC–Georgia Cooperation Council,EC
COUN_COOP_EC_KAZ,EC–Kazakhstan Cooperation Council,EC
COUN_COOP_EC_KGZ,EC–Kyrgyzstan Cooperation Council,EC
COUN_COOP_EC_LBN,EC–Lebanon Cooperation Council,EC
COUN_COOP_EC_SYR,EC–Syria Cooperation Council,EC
COUN_COOP_EC_UKR,EC–Ukraine Cooperation Council,EC
COUN_COOP_EC_UZB,EC–Uzbekistan Cooperation Council,EC
COUN_AMB_EEC_ACP,ACP–EEC Council of Ministers,EEC
COUN_ASS_ACP_EEC,ACP–EEC Association Council,EEC
COUN_ASS_EEC_GRC,EEC–Greece Association Council,EEC
COUN_COOP_EEC_EGY,EEC–Egypt Cooperation Council,EEC
COUN_COOP_EEC_LBN,EEC–Lebanon Cooperation Council,EEC
COUN_COOP_EEC_YUG,EEC–Yugoslavia Cooperation Council,EEC
COUN_AMB_EU_ACP,ACP–EU Council of Ministers,EURUN
COUN_ASS_EU_CENTR_AMER,EU–Central America Association Council,EURUN
COUN_ASS_EU_CHL,EU–Chile Association Council,EURUN
COUN_ASS_EU_DZA,EU–Algeria Association Council,EURUN
COUN_ASS_EU_EGY,EU–Egypt Association Council,EURUN
COUN_ASS_EU_GEO,EU–Georgia Association Council,EURUN
COUN_ASS_EU_ISR,EU–Israel Association Council,EURUN
COUN_ASS_EU_JOR,EU–Jordan Association Council,EURUN
COUN_ASS_EU_LBN,EU–Lebanon Association Council,EURUN
COUN_ASS_EU_MAR,EU–Morocco Association Council,EURUN
COUN_ASS_EU_MDA,EU–Moldova Association Council,EURUN
COUN_ASS_EU_TUN,EU–Tunisia Association Council,EURUN
COUN_ASS_EU_TUR,EU–Türkiye Association Council,EURUN
COUN_ASS_EU_UKR,EU–Ukraine Association Council,EURUN
COUN_COOP_EU_ARM,EU–Armenia Cooperation Council,EURUN
COUN_COOP_EU_AZE,EU–Azerbaijan Cooperation Council,EURUN
COUN_COOP_EU_KAZ,EU–Kazakhstan Cooperation Council,EURUN
COUN_COOP_EU_KGZ,EU–Kyrgyzstan Cooperation Council,EURUN
COUN_COOP_EU_SYR,EU–Syria Cooperation Council,EURUN
COUN_COOP_EU_TJK,EU–Tajikistan Cooperation Council,EURUN
CRO,Chief Risk Officer,COM
COUN_JOIN_EC_MEX,EC–Mexico Joint Council,EC
CURIA_1958_0,Court of Justice of the European Communities,EC
CYBER,European Cybercrime Centre,EUROPOL
COUN_COOP_EU_UZB,EU–Uzbekistan Cooperation Council,EURUN
COUN_COOP_EU_ZAF,EU–South Africa Cooperation Council,EURUN
COUN_JOIN_EU_MEX,EU–Mexico Joint Council,EURUN
COUN_STAB_ASS,Stabilisation and Association Council,EURUN
COUN_STAB_ASS_EU_ALB,EU–Albania Stabilisation and Association Council,EURUN
COUN_STAB_ASS_EU_BIH,EU–Bosnia and Herzegovina Stabilisation and Association Council,EURUN
COUN_STAB_ASS_EU_KOSOVO,EU–Kosovo Stabilisation and Association Council,EURUN
COUN_STAB_ASS_EU_MKD,EU–North Macedonia Stabilisation and Association Council,EURUN
COUN_STAB_ASS_EU_MKD_2009_0,EU–Former Yugoslav Republic of Macedonia Stabilisation and Association Council,EURUN
COUN_STAB_ASS_EU_MNE,EU–Montenegro Stabilisation and Association Council,EURUN
COUN_STAB_ASS_EU_SRB,EU–Serbia Stabilisation and Association Council,EURUN
COU_EUR_CDCC,Council for Cultural Cooperation,COU_EUR
COU_EUR_CDCPP,"Steering Committee for Culture, Heritage and Landscape",COU_EUR
COU_EUR_CDCULT,Steering Committee for Culture,COU_EUR
COU_EUR_CDED,Steering Committee for Education,COU_EUR
COU_EUR_CDEDU,Steering Committee for Education,COU_EUR
COU_EUR_CDESR,Steering Committee for Higher Education and Research,COU_EUR
COU_EUR_CDPATEP,Steering Committee for Cultural Heritage and Landscape,COU_EUR
COU_EUR_CDPPE,Steering Committee for Education Policy and Practice,COU_EUR
COU_EUR_CLRAE,Congress of Local and Regional Authorities of Europe,COU_EUR
COU_EUR_CLRAE_1983_0,Standing Conference of Local and Regional Authorities of Europe,COU_EUR
COU_EUR_DB,Council of Europe Development Bank,COU_EUR
COU_EUR_DB_1956_0,Resettlement Fund for National Refugees and Over-Population in Europe,COU_EUR
COU_EUR_DB_1994_0,Council of Europe Social Development Fund,COU_EUR
COU_EUR_ECARI,European Commission against Racism and Intolerance,COU_EUR
COU_EUR_ECLA,European Conference of Local Authorities,COU_EUR
COU_EUR_EDQM,European Directorate for the Quality of Medicines,COU_EUR
COU_EUR_EDQM_1964_0,European Pharmacopoeia,COU_EUR
COU_EUR_EDQM_1996_0,European Department for the Quality of Medicines,COU_EUR
COU_EUR_EYF,European Youth Foundation,COU_EUR
COU_EUR_MFRYD,Mobility Fund by Rail for the Young and the Disadvantaged,COU_EUR
COU_EUR_SFYM,Solidarity Fund for Youth Mobility,COU_EUR
CREDINV,Directorate General for Credit and Investments,ECSC_HA
DEE,Directorate-General ‘Economy-Energy’,ECSC_HA
D9D,"Directorate ‘Translation, Documentation, Reproduction and Library’",HR
DAW,Division for the Advancement of Women,UNO
DEL_AUS,Delegation to Australia,EEAS_DEL
DEL_BDI,Delegation to Burundi,EEAS_DEL
COUN_JOIN_EU_CARIFORUM,CARIFORUM–EU Joint Council,
COU_ARCTIC,Arctic Council,
COU_EUR_ECHR,European Commission of Human Rights,
CPMR,Conference of Peripheral Maritime Regions,
CSSS,Community of Sahel-Saharan States,
CSTO,Collective Security Treaty Organization,
DAC,Development Assistance Committee,
DATPRO,Provisional data,
DEVCO_2011_0,Directorate-General for Development and Cooperation – EuropeAid,COM
DEV_1958_0,DG VIII – Development,COM
DEV_1999_0,Directorate-General for Development,COM
DG01_1958_0,DG I – External Relations,COM
DG03_1967_0,DG III – Internal Market and Industrial Affairs,COM
DG03_1972_0,DG III – Industrial and Technological Affairs,COM
DG10_1967_0,DG X – Press and Information,COM
DG10_1973_0,DG X – Information,COM
DG10_1986_0,"DG X – Information, Communication and Culture",COM
DG11,DG XI – Internal Market,COM
DG11_1967_0,DG XI – External Trade,COM
DG14,DG XIV – Internal Market and Approximation of Legislation,COM
DG15_1973_0,DG XV – Financial Institutions and Taxation,COM
DG15_1986_0,DG XV – Financial Institutions and Company Law,COM
DG17_1967_0,DG XVII – Energy,COM
DG22,DG XXII – Coordination of Structural Instruments,COM
DGT_1967_0,Translation Service,COM
DIGIT_1980_0,Informatics Directorate,COM
DIGIT_1999_0,Directorate-General for Informatics,COM
DPO,Data Protection Officer,COM
EACEA_2005_0,"Education, Audiovisual and Culture Executive Agency",COM
DG18_DC,Directorate for Credit,ECFIN
DEL_IDN_BRN_TMP,"Delegation to Indonesia, Brunei Darussalam and East Timor",RELEX
DG01_1957_0,DG I – Directorate-General External economic relations,ECSC
DSB,Dispute Settlement Body,WTO
DEL_BGD,Delegation to Bangladesh,EEAS_DEL
DEL_CAF,Delegation to Central African Republic,EEAS_DEL
DEL_COL,Delegation to Colombia,EEAS_DEL
DEL_CRI,Delegation to Costa Rica,EEAS_DEL
DEL_CRI_PAN,Delegation to Costa Rica and to Panama,EEAS_DEL
DEL_ECU,Delegation to Ecuador,EEAS_DEL
DEL_ISL,Delegation to Iceland,EEAS_DEL
DEL_KAZ,Delegation to Kazakhstan,EEAS_DEL
DEL_KAZ_KGZ_TJK,"Delegation to Kazakhstan, to Kyrgyzstan and to Tajikistan",EEAS_DEL
DEL_KGZ,Delegation to Kyrgyzstan,EEAS_DEL
DEL_MAR,Delegation to Morocco,EEAS_DEL
DEL_MDG_COM,Delegation to Madagascar and to the Comoros,EEAS_DEL
DEL_MKD_2009_0,Delegation to the former Yugoslav Republic of Macedonia,EEAS_DEL
DEL_MNE,Delegation to Montenegro,EEAS_DEL
DEL_MUS_SYC,Delegation to Mauritius and to the Seychelles,EEAS_DEL
DEL_NIC_PAN_SICA,"Delegation to Nicaragua, Panama and to the Central American Integration System (SICA)",EEAS_DEL
DEL_NOR,Delegation to Norway,EEAS_DEL
DEL_NZL,Delegation to New Zealand,EEAS_DEL
DEL_PRY,Delegation to Paraguay,EEAS_DEL
DEL_TJK,Delegation to Tajikistan,EEAS_DEL
DEL_URY,Delegation to Uruguay,EEAS_DEL
DG03_1958_0,DG III – Internal market,EEC_COM
EAC_1989_0,"Task Force for Human Resources, Education, Training and Youth of the European Commission",COM
EAC_1995_0,"DG XXII – Education, Training and Youth",COM
EAC_1999_0,Directorate-General for Education and Culture,COM
ECHO_1992_0,European Community Humanitarian Office,COM
ECHO_1999_0,Humanitarian Aid Office,COM
ECHO_2005_0,Directorate-General for Humanitarian Aid,COM
ECHO_2010_0,Directorate-General for Humanitarian Aid and Civil Protection (ECHO),COM
ECA_1977_0,Court of Auditors,EC
EAS_2009_0,European Administrative School,EPSO
ECCC,"European Cybersecurity Industrial, Technology and Research Competence Centre",EURUN
EDPB,European Data Protection Board,EURUN
EC_LIBRARY,European Commission Library,PUBL
ECAT,European Centre for Algorithmic Transparency,JRC
EAEC_COUN,Council of the European Atomic Energy Community,EAEC
EAEC_ES,Executive Secretariat,EAEC
ECSC_PRESS,Press and Information Service,ECSC_HA
ECOSOC,United Nations Economic and Social Council,UNO
ECSC_CJ,Court of Justice of the European Coal and Steel Community,ECSC
ECSC_CMIN,Council of Ministers,ECSC
ECSC_SG,Secretariat-General,ECSC
EASA_2002_0,European Aviation Safety Agency,EURAG
EACOM,East African Community,
EADI,European Association of Development Research and Training Institutes,
EAES,European Atomic Energy Society,
EANPC,European Association of National Productivity Centres,
EAPC,Euro-Atlantic Partnership Council,
EBCD,European Bureau for Conservation and Development,
EBLUL,European Bureau for Lesser-Used Languages,
EBMS,European Board for Media Services,
EBUNION,European Barge Union,
ECCAS,Economic Community of Central African States,
ECML,European Centre for Modern Languages of the Council of Europe,
EESC_1958_0,Economic and Social Committee,EC
EEAS_BA,Directorate-General for Budget and Administration,EEAS
EEAS_CSDP,Service of Deputy Secretary General CSDP and crisis response,EEAS
EEAS_DEF,"Service of Deputy Secretary General for Peace, Security and Defence",EEAS
EEAS_DEL,EU Delegations and Offices,EEAS
EEAS_ECO,Service of Deputy Secretary General for economic and global issues,EEAS
EEAS_EUMS,European Union military staff,EEAS
EEAS_POL,Service of Deputy Secretary General for political affairs,EEAS
EEAS_RM,Directorate-General for Resource Management,EEAS
EEAS_SG,Secretariat-General of the EEAS,EEAS
EEC_COM,Commission,EEC
EEC_COUN,Council of the European Economic Community,EEC
EEC_ES,Executive Secretariat,EEC
EESC_CCMI,Consultative Commission on Industrial Change,EESC
EEAREA_CC,EEA Consultative Committee,EEAREA
EEAREA_COUN,EEA Council,EEAREA
EEAREA_JPC,EEA Joint Parliamentary Committee,EEAREA
EESC_ECO,Section for Economic and Monetary Union and Economic and Social Cohesion,EESC
EESC_INT,"Section for the Single Market, Production and Consumption",EESC
EESC_NAT,"Section for Agriculture, Rural Development and the Environment",EESC
EESC_REX,Section for External Relations,EESC
EESC_SG,Secretariat-General of the European Economic and Social Committee,EESC
EESC_SOC,"Section for Employment, Social Affairs and Citizenship",EESC
EESC_TEN,"Section for Transport, Energy, Infrastructure and the Information Society",EESC
EEU,Eurasian Economic Union,
EISMEA,European Innovation Council and SMEs Executive Agency,COM
EIBI,European Investment Bank Institute,EIB
EIB_SG,General Secretariat of the EIB,EIB
EFTA_PC,EFTA Parliamentary Committee,EFTA
EFTA_CC,EFTA Consultative Committee,EFTA
EFTA_STAT,EFTA Statistical Office,EFTA
EFTA_COUN,EFTA Council,EFTA
EFTA_BOA,EFTA Board of Auditors,EFTA
EGSA_1975_0,European GNSS Supervisory Authority,EURAG
EEU_2000_0,Eurasian Economic Community,
EFB,European Fiscal Board,
EFI,European Forest Institute,
EFSM,European Financial Stabilisation Mechanism,
ENEST,Directorate-General for Enlargement and Eastern Neighbourhood,COM
EMPL_1989_0,"DG V – Employment, Industrial Relations and Social Affairs",COM
EMPL_2004_0,"Directorate-General for Employment, Social Affairs and Equal Opportunities",COM
EMPL_1977_0,DG V – Employment and Social Affairs,COM
EMPL_1999_0,Directorate-General for Employment and Social Affairs,COM
EMPL_1958_0,DG V – Social Affairs,COM
EMPL_1981_0,"DG V – Employment, Social Affairs and Education",COM
EMEA_1993_0,European Agency for the Evaluation of Medicinal Products,EURAG
EIT_2007_0,European Institute of Technology,EURAG
ELEC,European League for Economic Cooperation,
ELEN,European Language Equality Network,
EMBL,European Molecular Biology Laboratory,
ENEA,European Nuclear Energy Agency,
ENER_COMNTY,Energy Community,
ENTR_1999_0,Directorate-General for Enterprise,COM
ENV_1981_0,"DG XI – Environment, Consumer Protection and Nuclear Safety",COM
ENV_1989_0,"DG XI – Environment, Nuclear Safety and Civil Protection",COM
EPPO,European Public Prosecutor’s Office,EURUN
ENIAC,ENIAC Joint Undertaking,EURAG
ENISA_2004_0,European Network and Information Security Agency,EURAG
ENISA_2013_0,European Union Agency for Network and Information Security,EURAG
ENP-EAST,Eastern Partnership,
ENP-SOUTH,Southern Neighbourhood,
EPA,European Productivity Agency,
EPORG,European Patent Organisation,
EPO_BA,Boards of Appeal of the European Patent Office,
EPSO_2002_0,Personnel Selection Office,COM
EP_1958_0,European Parliamentary Assembly,EEC
EP_1952_0,Common Assembly,ECSC
EP_AFCO_1982_0,Committee on Institutional Affairs,EP_CMT
EP_BU,Bureau of the European Parliament,EP
EP_COP,Conference of Presidents,EP
EP_CPCO,Conference of Committee Chairs,EP
EP_CPDE,Conference of Delegation Chairs,EP
EP_AFET_1992_0,Committee on Foreign Affairs and Security,EP_CMT
