parameter,value,total,Commission,Parliament,Council
MIN_DOC_WORDS,100.0,136,75,31,30
MIN_DOC_WORDS,200.0,134,75,31,28
MIN_DOC_WORDS,300.0,129,75,30,24
MIN_DOC_WORDS,500.0,128,74,30,24
MIN_DOC_WORDS,800.0,124,74,29,21
MIN_DENSITY,0.0,135,76,31,28
MIN_DENSITY,0.25,135,76,31,28
MIN_DENSITY,0.5,134,75,31,28
MIN_DENSITY,1.0,129,73,28,28
MIN_DENSITY,2.0,118,68,25,25
MIN_DENSITY,3.0,109,62,25,22
