doc_id,status,bytes,institution,type_raw,mtype
866eb16e-734d-11ec-9136-01aa75ed71a1,ok,131645,Parliament,OWNINI_RES,xhtml
8707360e-15f6-11f0-b1a3-01aa75ed71a1,ok,712230,Commission,COMMUNIC,xhtml
88f1c1f5-299f-11f1-8803-01aa75ed71a1,ok,211858,Parliament,REPORT,pdf
8f622861-7533-11ed-9887-01aa75ed71a1,ok,384552,Parliament,OWNINI_RES,xhtml
90c17f14-129d-11ef-a251-01aa75ed71a1,ok,132355,Council,ITEM_IA_NOTE,pdf
94e9297d-5f40-11f1-aa6d-01aa75ed71a1,ok,17058,Commission,IMPACT_ASSESS_SUM,xhtml
969edb7b-7f7f-11ec-8c40-01aa75ed71a1,ok,32001,Commission,DECLAR,xhtml
97d0ac46-299f-11f1-8803-01aa75ed71a1,ok,447023,Parliament,REPORT,pdf
97d86437-5425-11f1-b3e2-01aa75ed71a1,ok,127326,Commission,REPORT,xhtml
992fea61-24d6-11ef-a195-01aa75ed71a1,ok,166099,Council,ITEM_IA_NOTE,pdf
9b36c602-7f72-11ec-8c40-01aa75ed71a1,ok,29202,Commission,FACT_SUM_REPORT_CONSULT,xhtml
9dda0989-b992-11ee-b164-01aa75ed71a1,ok,2686714,Parliament,RES_LEGIS,xhtml
9e05efdd-9540-11f0-97c8-01aa75ed71a1,ok,57683,Commission,PROP_DEC,xhtml
a07903ec-c5f5-11f0-8da2-01aa75ed71a1,ok,148564,Commission,COMMUNIC,xhtml
a1599b9f-599b-11ec-91ac-01aa75ed71a1,ok,247394,Commission,REPORT,xhtml
a402db37-5d50-11ec-9c6c-01aa75ed71a1,ok,9998,Parliament,RES_LEGIS,xhtml
a6802eee-5f40-11f1-aa6d-01aa75ed71a1,ok,2262372,Commission,IMPACT_ASSESS,xhtml
a72c4fd1-453e-11eb-b59f-01aa75ed71a1,ok,54041,Commission,IMPACT_ASSESS_INCEP,xhtml
a77b6425-d32f-11ef-be2a-01aa75ed71a1,ok,64058,Commission,RECO,xhtml
a8081849-129e-11ef-a251-01aa75ed71a1,ok,183333,Council,ITEM_IA_NOTE,pdf
a84cffb3-88a2-11eb-ac4c-01aa75ed71a1,ok,18615,Commission,COMMUNIC_POSIT,xhtml
ac957f13-53c6-11ea-aece-01aa75ed71a1,ok,171403,Commission,PAPER_WHITE,xhtml
adf2cda7-6bc7-11f0-bf4e-01aa75ed71a1,ok,193548,Council,NOTE,pdf
af851426-57c9-11ec-91ac-01aa75ed71a1,ok,152077,Parliament,OWNINI_RES,xhtml
b0c79e29-7351-11ec-9136-01aa75ed71a1,ok,151811,Parliament,OWNINI_RES,xhtml
b1da3f85-143f-11ef-a251-01aa75ed71a1,ok,209542,Council,ITEM_IA_NOTE,pdf
b362fd9c-a666-11f1-b25c-01aa75ed71a1,ok,396812,Parliament,RES_LEGIS,xhtml
b397c30e-6a63-11f1-ae88-01aa75ed71a1,ok,1078676,Commission,COMMUNIC,xhtml
b7875ebe-443a-11f1-8095-01aa75ed71a1,ok,1376971,Commission,REPORT,pdf
b94fc82c-3588-11eb-b27b-01aa75ed71a1,ok,157694,Commission,COMMUNIC,xhtml
b969545d-af9f-11ea-bb7a-01aa75ed71a1,ok,86103,Council,CONCL,xhtml
b992c792-f6ab-11f0-b9bc-01aa75ed71a1,ok,47333,Commission,REPORT,xhtml
bae9637f-6a63-11f1-ae88-01aa75ed71a1,ok,531755,Commission,SWD,xhtml
baebce15-1ef5-11ed-8fa0-01aa75ed71a1,ok,77800,Commission,RECO_DEC,xhtml
bd17fd0f-b5b0-11ec-b6f4-01aa75ed71a1,ok,53977,Commission,FACT_SUM_REPORT_CONSULT,xhtml
bd380e70-6a63-11f1-ae88-01aa75ed71a1,ok,1081843,Commission,SWD,xhtml
be1a7ff8-7ad0-11f1-bf5e-01aa75ed71a1,ok,101619,Commission,COMMUNIC,xhtml
bf74c67d-98f6-11eb-b85c-01aa75ed71a1,ok,287182,Council,POSIT,xhtml
c319827b-7523-11f1-bf5e-01aa75ed71a1,ok,169167,Council,NOTE,pdf
c45de3f1-6a63-11f1-ae88-01aa75ed71a1,ok,342705,Commission,SWD,xhtml
c651aa91-48e4-11f1-8095-01aa75ed71a1,ok,199436,Parliament,RES_LEGIS,xhtml
c6b4f352-6a63-11f1-ae88-01aa75ed71a1,ok,312867,Commission,SWD,xhtml
c8c51d1a-c572-11f0-8da2-01aa75ed71a1,ok,382362,Commission,PROP_REG,xhtml
ca49a33d-3588-11eb-b27b-01aa75ed71a1,ok,244302,Commission,SWD,xhtml
cd806b9d-7bf7-11f1-bf5e-01aa75ed71a1,ok,153078,Council,RES,xhtml
d02dd0e8-4364-11f1-8095-01aa75ed71a1,ok,93146,Parliament,OWNINI_RES,xhtml
d031f3f0-82ff-11ee-99ba-01aa75ed71a1,ok,169011,Council,NOTE,pdf
d4f4259d-9066-11f1-9262-01aa75ed71a1,ok,184097,Parliament,OWNINI_RES,xhtml
d6eaaab7-3f76-11f1-8095-01aa75ed71a1,ok,64559,Parliament,OWNINI_RES,xhtml
da5175ba-df73-11f0-8439-01aa75ed71a1,ok,4023972,Commission,REPORT,pdf
dca0302d-1c21-11f1-8c3a-01aa75ed71a1,ok,1063664,Commission,RECO,xhtml
de14ecbc-7f7f-11ec-8c40-01aa75ed71a1,ok,33117,Commission,COMMUNIC,xhtml
e01b6fbb-135f-11ef-a251-01aa75ed71a1,ok,307107,Council,NOTE,pdf
e0649735-a372-11eb-9585-01aa75ed71a1,ok,589284,Commission,PROP_REG,xhtml
e2787e1c-0892-11f0-b1a3-01aa75ed71a1,ok,30221,Commission,PROP_DEC,xhtml
e346392e-41ed-11f0-b9f2-01aa75ed71a1,ok,101833,Commission,JOINT_COMMUNIC,xhtml
e3a37a67-33ba-11ef-b441-01aa75ed71a1,ok,63944,Commission,PROP_DEC,xhtml
